date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:39:23	49690/49690	---M-Z	200	added ('OK')	text/html	etag:%22c21a-650302a6-ce627ff38665595f;gz%22	https://themewant.com/products/html/kester/account.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/account.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:23	41037/41037	---M-Z	200	added ('OK')	text/html	etag:%22a04d-650302a6-600410b7fde63fb9;gz%22	https://themewant.com/products/html/kester/thank-you.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/thank-you.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:23	59748/59748	---M-Z	200	added ('OK')	text/html	etag:%22e964-650302a6-80191ca2569d11f4;gz%22	https://themewant.com/products/html/kester/blog.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/blog.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:24	67001/67001	---M-Z	200	added ('OK')	text/html	etag:%22105b9-650302a6-940aba12bcf70bfc;gz%22	https://themewant.com/products/html/kester/blog-details.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/blog-details.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:24	44589/44589	---M-Z	200	added ('OK')	text/html	etag:%22ae2d-650302a6-77b8c1f787077a5c;gz%22	https://themewant.com/products/html/kester/contact.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/contact.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:24	7393/7393	---M--	200	added ('OK')	image/png	etag:%221ce1-650302a6-7063d6ba4a129a68;;;%22	https://themewant.com/products/html/kester/assets/images/products/product1.png	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/assets/images/products/product1.png	(from https://themewant.com/products/html/kester/index-two.html)
01:39:24	11392/11392	---M--	200	added ('OK')	image/png	etag:%222c80-650302a6-b3585cd3bb113676;;;%22	https://themewant.com/products/html/kester/assets/images/products/product2.png	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/assets/images/products/product2.png	(from https://themewant.com/products/html/kester/index-two.html)
01:39:25	11220/11220	---M--	200	added ('OK')	image/png	etag:%222bd4-650302a6-a75bd39979cec3b6;;;%22	https://themewant.com/products/html/kester/assets/images/products/product6.png	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/assets/images/products/product6.png	(from https://themewant.com/products/html/kester/index-two.html)
01:39:25	50364/50364	---M-Z	200	added ('OK')	text/html	etag:%22c4bc-650302a6-305d2f32c8d382c9;gz%22	https://themewant.com/products/html/kester/awards.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/awards.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:26	112119/112119	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Nov%202023%2018:39:25%20GMT	https://themewant.com/products/html/kester/news-details.html	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/news-details.html	(from https://themewant.com/products/html/kester/index-two.html)
01:39:26	188099/188099	---M--	200	added ('OK')	image/png	etag:%222dec3-650302a6-7cc2eb2dd272d761;;;%22	https://themewant.com/products/html/kester/assets/images/logo.png	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/assets/images/logo.png	(from https://themewant.com/products/html/kester/index-two.html)
01:39:26	46972/46972	---M--	200	added ('OK')	image/jpeg	etag:%22b77c-650302a5-e040d99cfada23dd;;;%22	https://themewant.com/products/html/kester/assets/images/blog/blog8.jpg	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/assets/images/blog/blog8.jpg	(from https://themewant.com/products/html/kester/index-two.html)
01:39:26	38642/38642	---M--	200	added ('OK')	image/jpeg	etag:%2296f2-650302a5-dd4cd5dfbd63d2b3;;;%22	https://themewant.com/products/html/kester/assets/images/blog/blog9.jpg	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/assets/images/blog/blog9.jpg	(from https://themewant.com/products/html/kester/index-two.html)
01:39:27	33224/33224	---M--	200	added ('OK')	image/jpeg	etag:%2281c8-650302a5-cc6e267d6c9e60a6;;;%22	https://themewant.com/products/html/kester/assets/images/blog/blog10.jpg	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/assets/images/blog/blog10.jpg	(from https://themewant.com/products/html/kester/index-two.html)
01:39:27	25861/25861	---M--	200	added ('OK')	image/jpeg	etag:%226505-650302a5-3966623c5388e938;;;%22	https://themewant.com/products/html/kester/assets/images/blog/blog11.jpg	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/assets/images/blog/blog11.jpg	(from https://themewant.com/products/html/kester/index-two.html)
01:39:27	77216/77216	---M--	200	added ('OK')	image/jpeg	etag:%2212da0-650302a6-d66fa465b6d77631;;;%22	https://themewant.com/products/html/kester/assets/images/items/blog-1.jpg	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/assets/images/items/blog-1.jpg	(from https://themewant.com/products/html/kester/index-two.html)
01:39:27	53285/53285	---M--	200	added ('OK')	image/jpeg	etag:%22d025-650302a6-3204c478ea345fb6;;;%22	https://themewant.com/products/html/kester/assets/images/items/blog-2.jpg	C:/My%20Web%20Sites/ball/themewant.com/products/html/kester/assets/images/items/blog-2.jpg	(from https://themewant.com/products/html/kester/index-two.html)
